Pipe_Size_mm,Thickness_mm,Material,Grade,Max_Pressure_psi,Temperature_C,Corrosion_Impact_Percent,Thickness_Loss_mm,Material_Loss_Percent,Time_Years,Condition,Failure_Risk,Inspection_Cost,Repair_Cost,Downtime,Recommended_Action
150,6.81,Fiberglass,API 5L X65,1500,62.4,16.1,5.52,81.06,4,Critical,0.5142344384136116,1382,5536,1,Schedule Inspection
1500,30.19,Stainless Steel,ASTM A106 Grade B,150,109.0,13.0,0.22,0.73,14,Normal,0.5924145688620425,1187,18891,5,Schedule Inspection
1000,24.79,HDPE,ASTM A333 Grade 6,1500,4.7,4.65,4.76,19.2,17,Moderate,0.046450412719997725,1326,12340,9,Monitor
250,7.16,HDPE,API 5L X42,2500,-23.1,10.24,4.96,69.27,14,Moderate,0.6075448519014384,1226,19267,9,Schedule Inspection
150,5.97,PVC,ASTM A106 Grade B,150,35.4,14.28,0.2,3.35,24,Normal,0.17052412368729153,1093,12179,4,Monitor
250,13.7,Carbon Steel,API 5L X65,2500,18.3,0.28,5.94,43.36,13,Critical,0.06505159298527952,1746,12967,3,Monitor
300,9.65,Carbon Steel,API 5L X42,900,58.2,16.16,5.04,52.23,19,Critical,0.9488855372533332,1489,17415,1,Immediate Repair
50,4.55,PVC,ASTM A333 Grade 6,600,51.7,14.89,8.91,195.82,1,Critical,0.9656320330745594,871,16871,2,Immediate Repair
50,4.05,PVC,ASTM A333 Grade 6,150,63.0,16.94,9.53,235.31,1,Critical,0.8083973481164611,1434,17379,8,Immediate Repair
50,4.11,Fiberglass,API 5L X65,150,44.5,7.24,3.39,82.48,15,Moderate,0.3046137691733707,1494,16916,1,Monitor
150,8.15,PVC,ASTM A106 Grade B,150,-23.9,2.62,0.2,2.45,5,Normal,0.09767211400638387,901,13734,8,Monitor
1000,17.26,Fiberglass,ASTM A333 Grade 6,1500,-8.0,1.79,5.56,32.21,9,Critical,0.6842330265121569,1966,5845,7,Schedule Inspection
250,7.17,Fiberglass,ASTM A333 Grade 6,150,84.7,16.86,2.91,40.59,14,Moderate,0.4401524937396013,1114,16795,8,Schedule Inspection
1200,24.53,Fiberglass,ASTM A333 Grade 6,600,62.4,16.22,4.93,20.1,10,Moderate,0.12203823484477883,1796,10777,6,Monitor
600,17.32,Carbon Steel,API 5L X65,150,59.8,0.84,7.74,44.69,1,Critical,0.4951769101112702,1682,8036,9,Schedule Inspection
1000,30.64,Carbon Steel,ASTM A106 Grade B,2500,148.7,3.25,1.06,3.46,11,Normal,0.034388521115218396,1675,10947,3,Monitor
100,5.96,Stainless Steel,ASTM A106 Grade B,150,116.7,2.42,0.45,7.55,23,Normal,0.9093204020787821,1494,7494,4,Immediate Repair
400,12.67,Carbon Steel,API 5L X42,150,0.1,17.04,0.37,2.92,5,Normal,0.2587799816000169,1119,17677,6,Monitor
800,21.57,Carbon Steel,ASTM A333 Grade 6,150,-4.3,10.97,6.17,28.6,9,Critical,0.662522284353982,687,7719,8,Schedule Inspection
50,3.6,Fiberglass,API 5L X42,2500,20.2,15.29,7.69,213.61,2,Critical,0.31171107608941095,1621,6884,5,Monitor
1500,21.15,PVC,API 5L X65,600,109.7,18.84,0.93,4.4,1,Normal,0.5200680211778108,630,17330,3,Schedule Inspection
800,29.98,PVC,API 5L X52,1500,9.8,14.24,1.84,6.14,5,Normal,0.5467102793432796,1304,9349,6,Schedule Inspection
800,28.85,Stainless Steel,API 5L X65,2500,57.3,6.62,9.51,32.96,19,Critical,0.18485445552552704,1694,16393,4,Monitor
600,12.82,HDPE,ASTM A333 Grade 6,300,54.9,2.95,9.19,71.68,15,Critical,0.9695846277645586,1435,10179,9,Immediate Repair
150,6.12,Carbon Steel,API 5L X52,1500,42.6,12.29,6.31,103.1,17,Critical,0.7751328233611146,1485,15902,3,Immediate Repair
1500,34.37,Carbon Steel,API 5L X42,900,64.9,17.54,0.83,2.41,25,Normal,0.9394989415641891,682,11610,4,Immediate Repair
100,6.71,Fiberglass,API 5L X65,300,28.6,12.61,0.59,8.79,19,Normal,0.8948273504276488,1482,11430,7,Immediate Repair
800,18.86,Fiberglass,API 5L X42,900,16.9,12.16,3.96,21.0,11,Moderate,0.5978999788110851,863,12154,7,Schedule Inspection
250,12.79,Fiberglass,ASTM A106 Grade B,2500,16.8,18.35,0.02,0.16,21,Normal,0.9218742350231168,538,18828,4,Immediate Repair
1200,24.48,HDPE,ASTM A333 Grade 6,900,30.8,4.34,6.35,25.94,1,Critical,0.0884925020519195,996,15145,6,Monitor
50,5.73,HDPE,ASTM A333 Grade 6,1500,136.8,16.74,3.89,67.89,4,Moderate,0.1959828624191452,1872,11488,3,Monitor
600,28.18,Carbon Steel,API 5L X52,1500,-28.3,0.69,1.67,5.93,1,Normal,0.045227288910538066,1481,9737,6,Monitor
1500,36.91,PVC,API 5L X65,2500,77.7,18.28,9.53,25.82,9,Critical,0.32533033076326434,1420,11525,2,Monitor
600,10.56,HDPE,API 5L X52,150,58.6,0.2,6.37,60.32,13,Critical,0.388677289689482,1920,8850,8,Monitor
500,24.81,PVC,ASTM A333 Grade 6,300,8.8,5.78,0.87,3.51,19,Normal,0.2713490317738959,1221,5689,2,Monitor
800,19.87,Stainless Steel,ASTM A106 Grade B,600,20.3,7.6,4.65,23.4,7,Moderate,0.8287375091519293,1684,18564,7,Immediate Repair
1000,31.7,Carbon Steel,API 5L X52,600,38.8,0.09,4.1,12.93,11,Moderate,0.3567533266935893,515,15142,9,Monitor
300,14.23,HDPE,ASTM A106 Grade B,900,77.8,16.27,1.51,10.61,14,Normal,0.28093450968738076,992,10175,1,Monitor
600,28.35,Stainless Steel,ASTM A106 Grade B,150,37.4,14.36,9.06,31.96,2,Critical,0.5426960831582485,1949,18774,8,Schedule Inspection
1000,33.18,PVC,API 5L X52,2500,51.3,9.27,3.64,10.97,25,Moderate,0.14092422497476265,1631,13648,7,Monitor
400,13.52,HDPE,API 5L X65,900,87.1,4.63,0.36,2.66,5,Normal,0.8021969807540397,1393,10078,6,Immediate Repair
300,17.13,PVC,API 5L X65,150,77.4,5.6,6.28,36.66,9,Critical,0.07455064367977082,1973,15322,6,Monitor
100,4.43,Fiberglass,API 5L X42,150,-38.9,17.62,5.55,125.28,5,Critical,0.9868869366005173,810,17168,6,Immediate Repair
500,22.0,Fiberglass,API 5L X65,900,28.7,10.3,0.18,0.82,16,Normal,0.7722447692966574,1238,18410,9,Immediate Repair
50,4.71,Fiberglass,ASTM A106 Grade B,300,29.2,2.9,9.97,211.68,13,Critical,0.1987156815341724,1693,17436,2,Monitor
50,5.89,Carbon Steel,ASTM A333 Grade 6,1500,-12.3,12.98,4.68,79.46,21,Moderate,0.005522117123602399,1045,10448,1,Monitor
150,6.26,PVC,ASTM A333 Grade 6,150,61.2,4.65,5.72,91.37,23,Critical,0.8154614284548342,913,6179,6,Immediate Repair
300,8.07,Fiberglass,API 5L X52,600,-19.0,4.41,3.18,39.41,6,Moderate,0.7068573438476171,750,17477,8,Immediate Repair
300,16.31,Carbon Steel,ASTM A333 Grade 6,2500,-37.4,4.32,5.54,33.97,25,Critical,0.7290071680409873,1258,16757,3,Immediate Repair
300,14.96,Carbon Steel,API 5L X52,2500,27.6,14.19,0.63,4.21,2,Normal,0.7712703466859457,1664,14074,1,Immediate Repair
300,9.27,HDPE,ASTM A333 Grade 6,1500,30.6,16.91,0.33,3.56,12,Normal,0.07404465173409036,1797,11406,9,Monitor
500,14.33,HDPE,ASTM A333 Grade 6,300,39.9,10.63,0.23,1.61,9,Normal,0.3584657285442726,1939,13591,1,Monitor
250,6.79,Stainless Steel,ASTM A106 Grade B,1500,79.5,3.85,3.79,55.82,22,Moderate,0.11586905952512971,1562,11907,3,Monitor
50,4.96,HDPE,API 5L X42,2500,35.6,13.87,7.04,141.94,2,Critical,0.8631034258755935,1313,13800,8,Immediate Repair
250,12.43,Fiberglass,ASTM A333 Grade 6,1500,-31.1,4.23,2.92,23.49,14,Moderate,0.6232981268275579,528,19083,3,Schedule Inspection
500,13.73,Fiberglass,ASTM A106 Grade B,2500,72.9,13.47,8.6,62.64,9,Critical,0.3308980248526492,1457,6638,4,Monitor
100,4.03,PVC,ASTM A106 Grade B,2500,70.0,3.71,0.59,14.64,8,Normal,0.06355835028602363,976,10671,8,Monitor
500,24.1,Fiberglass,ASTM A333 Grade 6,900,2.1,18.06,0.47,1.95,22,Normal,0.3109823217156622,817,11928,1,Monitor
100,7.55,Fiberglass,ASTM A106 Grade B,1500,109.9,7.63,7.12,94.3,10,Critical,0.32518332202674705,744,15340,6,Monitor
1200,31.11,Carbon Steel,ASTM A333 Grade 6,2500,22.7,15.45,8.01,25.75,10,Critical,0.7296061783380641,1247,6382,1,Immediate Repair
400,14.91,Stainless Steel,API 5L X42,2500,0.1,10.44,8.8,59.02,22,Critical,0.6375574713552131,1196,6403,1,Schedule Inspection
1200,27.92,HDPE,ASTM A333 Grade 6,1500,60.3,10.0,8.04,28.8,7,Critical,0.8872127425763265,771,14011,8,Immediate Repair
1000,20.11,Carbon Steel,ASTM A333 Grade 6,900,53.7,10.5,3.18,15.81,13,Moderate,0.4722149251619493,1963,8292,4,Schedule Inspection
200,6.69,Carbon Steel,API 5L X42,2500,129.8,9.16,6.56,98.06,7,Critical,0.1195942459383017,1762,14011,1,Monitor
300,11.47,Fiberglass,ASTM A333 Grade 6,900,137.9,6.96,5.22,45.51,14,Critical,0.713244787222995,876,5419,7,Immediate Repair
1500,28.64,Stainless Steel,API 5L X52,2500,-24.8,2.35,2.39,8.34,10,Moderate,0.7607850486168974,765,17411,5,Immediate Repair
800,19.01,PVC,API 5L X65,1500,41.1,8.52,5.25,27.62,17,Critical,0.5612771975694962,1425,9517,5,Schedule Inspection
150,5.34,HDPE,API 5L X65,300,7.6,8.19,6.94,129.96,25,Critical,0.770967179954561,1420,8302,1,Immediate Repair
600,23.37,Stainless Steel,ASTM A333 Grade 6,900,68.5,2.53,8.45,36.16,22,Critical,0.49379559636439074,1882,12857,6,Schedule Inspection
600,14.07,Carbon Steel,API 5L X42,600,3.7,5.98,6.0,42.64,2,Critical,0.5227328293819941,839,14700,9,Schedule Inspection
200,10.46,Carbon Steel,API 5L X65,1500,5.0,7.88,6.02,57.55,3,Critical,0.42754101835854963,888,12870,9,Schedule Inspection
50,4.77,Carbon Steel,ASTM A333 Grade 6,1500,65.9,6.41,8.5,178.2,21,Critical,0.02541912674409519,1076,10693,8,Monitor
1500,32.08,PVC,ASTM A106 Grade B,2500,39.5,9.54,9.73,30.33,13,Critical,0.10789142699330445,502,5767,5,Monitor
1000,26.09,HDPE,API 5L X42,2500,59.5,14.82,2.64,10.12,23,Moderate,0.03142918568673425,1952,7044,1,Monitor
200,8.99,PVC,API 5L X52,300,37.7,19.4,8.47,94.22,11,Critical,0.6364104112637804,1665,19818,9,Schedule Inspection
200,10.29,Stainless Steel,API 5L X42,300,127.4,14.07,2.59,25.17,12,Moderate,0.3143559810763267,875,19854,1,Monitor
1200,31.05,Carbon Steel,ASTM A106 Grade B,1500,32.9,8.93,1.23,3.96,1,Normal,0.5085706911647028,823,19490,8,Schedule Inspection
500,18.1,HDPE,API 5L X52,2500,103.7,17.81,1.45,8.01,13,Normal,0.907566473926093,645,15331,5,Immediate Repair
50,4.77,HDPE,ASTM A333 Grade 6,150,13.4,0.28,7.41,155.35,7,Critical,0.24929222914887494,792,16221,3,Monitor
1500,42.64,Fiberglass,ASTM A333 Grade 6,300,106.8,12.28,7.63,17.89,16,Critical,0.41038292303562973,931,6549,7,Schedule Inspection
600,10.33,Stainless Steel,ASTM A106 Grade B,600,74.5,7.45,2.37,22.94,6,Moderate,0.7555511385430487,1204,19790,7,Immediate Repair
300,14.32,Carbon Steel,API 5L X52,600,25.0,18.29,8.2,57.26,5,Critical,0.22879816549162246,1448,14956,9,Monitor
800,30.66,HDPE,API 5L X52,600,105.4,12.33,1.45,4.73,10,Normal,0.07697990982879299,1084,11140,7,Monitor
150,6.98,Carbon Steel,API 5L X52,300,51.1,15.43,4.03,57.74,8,Moderate,0.289751452913768,898,15837,3,Monitor
600,12.2,PVC,ASTM A106 Grade B,300,-11.6,15.77,2.18,17.87,19,Moderate,0.16122128725400442,1316,8716,1,Monitor
500,23.91,Fiberglass,ASTM A333 Grade 6,300,76.2,12.37,5.67,23.71,12,Critical,0.9296976523425731,1867,17797,8,Immediate Repair
1200,32.57,PVC,API 5L X42,300,96.5,12.31,6.7,20.57,19,Critical,0.808120379564417,1463,18494,3,Immediate Repair
1000,24.79,PVC,API 5L X42,600,14.4,0.88,6.86,27.67,2,Critical,0.6334037565104235,1663,9481,8,Schedule Inspection
250,10.21,Stainless Steel,ASTM A333 Grade 6,600,32.1,6.22,4.53,44.37,21,Moderate,0.8714605901877177,686,18885,8,Immediate Repair
800,14.17,Fiberglass,API 5L X65,150,36.0,4.86,3.33,23.5,7,Moderate,0.8036720768991145,560,12898,5,Immediate Repair
800,21.79,PVC,API 5L X52,2500,44.2,14.79,7.24,33.23,5,Critical,0.18657005888603584,1438,11548,1,Monitor
100,7.29,Stainless Steel,API 5L X52,150,-15.8,3.59,7.32,100.41,7,Critical,0.8925589984899778,1903,7293,7,Immediate Repair
150,9.03,PVC,API 5L X52,300,19.7,9.65,6.02,66.67,14,Critical,0.5393422419156507,1209,9837,5,Schedule Inspection
200,9.41,HDPE,ASTM A106 Grade B,150,5.3,12.74,6.06,64.4,24,Critical,0.8074401551640625,1306,12758,8,Immediate Repair
150,9.16,Carbon Steel,API 5L X52,600,7.9,16.16,2.61,28.49,10,Moderate,0.8960912999234932,1963,15900,9,Immediate Repair
250,6.69,Fiberglass,ASTM A333 Grade 6,1500,-32.5,5.99,9.03,134.98,12,Critical,0.3180034749718639,1842,11793,7,Monitor
150,5.88,PVC,API 5L X52,150,14.0,4.28,6.13,104.25,13,Critical,0.11005192452767676,1825,12638,7,Monitor
1000,22.09,Carbon Steel,API 5L X42,600,13.1,19.73,9.28,42.01,3,Critical,0.22793516254194168,1867,12993,1,Monitor
1200,25.68,HDPE,ASTM A333 Grade 6,600,46.6,17.66,6.07,23.64,13,Critical,0.4271077886262563,510,11007,4,Schedule Inspection
50,4.8,Carbon Steel,ASTM A106 Grade B,1500,125.6,18.25,0.92,19.17,18,Normal,0.8180147659224931,1585,10542,2,Immediate Repair
500,9.8,PVC,API 5L X65,2500,26.2,10.34,3.2,32.65,14,Moderate,0.8607305832563434,725,14092,2,Immediate Repair
100,7.07,Stainless Steel,API 5L X65,150,12.5,3.04,5.78,81.75,21,Critical,0.006952130531190703,1676,19400,2,Monitor
400,17.39,Fiberglass,API 5L X65,150,-12.8,12.59,7.23,41.58,2,Critical,0.5107473025775657,1063,16276,4,Schedule Inspection
150,7.94,Carbon Steel,API 5L X42,2500,57.2,10.79,4.92,61.96,15,Moderate,0.417411003148779,1271,11356,1,Schedule Inspection
250,7.29,Fiberglass,API 5L X52,1500,140.1,16.13,5.7,78.19,16,Critical,0.22210781047073025,1833,15201,4,Monitor
1000,29.55,Fiberglass,ASTM A333 Grade 6,1500,82.5,1.26,0.24,0.81,25,Normal,0.1198653673336828,1384,13433,2,Monitor
1200,35.76,PVC,API 5L X65,2500,-15.3,10.6,2.45,6.85,5,Moderate,0.33761517140362796,1766,19828,5,Monitor
600,26.97,Carbon Steel,ASTM A333 Grade 6,1500,82.0,16.29,1.53,5.67,22,Normal,0.9429097039125192,1889,12380,3,Immediate Repair
400,10.27,PVC,API 5L X65,300,40.1,8.69,6.45,62.8,16,Critical,0.32320293202075523,1853,7385,8,Monitor
200,7.56,Stainless Steel,API 5L X52,2500,79.8,0.0,5.88,77.78,9,Critical,0.5187906217433661,1630,19308,4,Schedule Inspection
150,9.25,Fiberglass,API 5L X65,2500,22.3,2.35,6.26,67.68,18,Critical,0.7030189588951778,725,9268,1,Immediate Repair
800,17.64,Fiberglass,ASTM A333 Grade 6,300,13.5,14.19,6.31,35.77,9,Critical,0.363629602379294,1324,5671,1,Monitor
50,5.21,Stainless Steel,API 5L X65,150,74.0,0.87,5.35,102.69,5,Critical,0.9717820827209607,717,5163,3,Immediate Repair
800,28.66,Fiberglass,API 5L X65,1500,149.7,8.48,7.29,25.44,19,Critical,0.9624472949421112,1436,13656,9,Immediate Repair
300,10.01,HDPE,ASTM A106 Grade B,1500,-4.9,13.56,2.37,23.68,19,Moderate,0.25178229582536416,1252,16234,7,Monitor
400,16.52,Fiberglass,API 5L X52,2500,12.9,16.78,9.54,57.75,12,Critical,0.49724850589238545,1005,9592,2,Schedule Inspection
1500,31.97,Carbon Steel,API 5L X65,600,59.8,5.15,2.33,7.29,15,Moderate,0.30087830981676966,758,9795,9,Monitor
1500,34.61,HDPE,API 5L X52,300,61.6,1.92,6.26,18.09,19,Critical,0.2848404943774676,553,15634,2,Monitor
1200,20.19,HDPE,API 5L X42,150,32.6,15.86,8.05,39.87,24,Critical,0.036886947354532795,1570,9798,3,Monitor
100,7.71,PVC,API 5L X65,2500,24.0,16.28,3.09,40.08,15,Moderate,0.6095643339798968,1226,11036,2,Schedule Inspection
400,13.4,Carbon Steel,ASTM A106 Grade B,2500,-15.2,18.13,1.17,8.73,13,Normal,0.5026790232288615,1188,7355,3,Schedule Inspection
1500,40.94,Stainless Steel,API 5L X65,2500,-14.8,18.53,2.56,6.25,19,Moderate,0.05147875124998935,1622,10887,6,Monitor
250,7.48,Stainless Steel,ASTM A106 Grade B,2500,134.3,6.05,0.37,4.95,5,Normal,0.27864646423661144,1543,17470,9,Monitor
200,11.25,Carbon Steel,API 5L X42,600,13.1,2.48,2.04,18.13,12,Moderate,0.9082658859666537,918,17916,9,Immediate Repair
150,8.6,HDPE,ASTM A333 Grade 6,600,17.9,8.62,6.66,77.44,25,Critical,0.23956189066697242,1189,12961,7,Monitor
500,14.61,Fiberglass,API 5L X42,300,6.6,9.87,5.99,41.0,21,Critical,0.1448948720912231,1349,15749,3,Monitor
500,13.76,Fiberglass,ASTM A333 Grade 6,2500,73.2,18.91,5.14,37.35,3,Critical,0.489452760277563,561,10827,4,Schedule Inspection
250,6.77,Carbon Steel,ASTM A106 Grade B,2500,69.1,6.58,1.41,20.83,13,Normal,0.9856504541106007,1668,13737,6,Immediate Repair
100,5.12,Stainless Steel,ASTM A106 Grade B,900,53.0,0.64,1.11,21.68,12,Normal,0.2420552715115004,715,18875,5,Monitor
1500,27.3,Fiberglass,API 5L X65,1500,115.2,13.79,0.67,2.45,18,Normal,0.6721355474058786,502,9719,2,Schedule Inspection
250,9.59,Fiberglass,ASTM A106 Grade B,150,18.5,17.18,2.35,24.5,6,Moderate,0.7616196153287176,659,17027,6,Immediate Repair
100,6.02,PVC,API 5L X42,1500,50.7,18.36,2.37,39.37,23,Moderate,0.23763754399239967,1280,5593,3,Monitor
600,14.75,Carbon Steel,ASTM A333 Grade 6,600,2.1,5.36,3.17,21.49,11,Moderate,0.7282163486118596,1643,9839,8,Immediate Repair
500,23.95,HDPE,ASTM A333 Grade 6,900,37.7,15.5,2.41,10.06,15,Moderate,0.3677831327192532,1392,12394,2,Monitor
800,23.11,Carbon Steel,ASTM A333 Grade 6,900,-2.2,14.62,1.73,7.49,25,Normal,0.6323058305935795,1612,19056,1,Schedule Inspection
250,12.68,Fiberglass,API 5L X52,1500,35.5,16.9,7.72,60.88,2,Critical,0.6335297107608947,828,16996,9,Schedule Inspection
1200,19.16,Fiberglass,API 5L X65,900,74.7,18.91,6.59,34.39,2,Critical,0.5357746840747585,1079,14651,3,Schedule Inspection
50,4.86,Stainless Steel,ASTM A106 Grade B,600,3.8,3.33,6.67,137.24,24,Critical,0.0902897700544083,1880,19236,1,Monitor
1200,36.87,PVC,API 5L X52,900,-4.7,1.58,9.91,26.88,20,Critical,0.835302495589238,1790,8493,7,Immediate Repair
150,6.53,PVC,API 5L X42,2500,65.9,8.49,4.53,69.37,8,Moderate,0.32078006497173583,1451,15793,5,Monitor
800,20.03,Fiberglass,API 5L X65,150,127.3,12.76,5.29,26.41,16,Critical,0.18651851039985423,1846,11164,5,Monitor
400,8.22,Carbon Steel,API 5L X52,2500,31.5,13.61,8.46,102.92,12,Critical,0.040775141554763916,1134,19889,1,Monitor
1200,27.43,HDPE,API 5L X42,600,12.7,14.29,1.36,4.96,23,Normal,0.5908929431882418,1487,15636,9,Schedule Inspection
1200,19.82,Stainless Steel,API 5L X42,600,85.7,19.05,0.72,3.63,14,Normal,0.6775643618422824,1718,7672,7,Schedule Inspection
600,18.74,Carbon Steel,ASTM A333 Grade 6,1500,62.7,2.68,6.42,34.26,9,Critical,0.016587828927856152,1420,9200,8,Monitor
1000,15.83,Carbon Steel,API 5L X65,300,-3.4,11.42,7.82,49.4,23,Critical,0.512093058299281,1237,19527,9,Schedule Inspection
150,5.44,Stainless Steel,API 5L X52,1500,108.5,18.25,2.04,37.5,18,Moderate,0.22649577519793795,1855,5016,6,Monitor
300,15.59,PVC,ASTM A106 Grade B,2500,74.1,1.08,0.15,0.96,5,Normal,0.6451727904094499,669,8191,5,Schedule Inspection
500,10.26,Fiberglass,ASTM A333 Grade 6,300,18.4,5.02,0.34,3.31,2,Normal,0.17436642900499144,1020,5392,6,Monitor
800,16.83,Stainless Steel,ASTM A333 Grade 6,150,55.2,9.75,6.78,40.29,6,Critical,0.690937738102466,1986,13616,2,Schedule Inspection
1500,35.0,Carbon Steel,API 5L X42,1500,32.3,1.14,1.92,5.49,16,Normal,0.3867353463005374,539,11272,4,Monitor
100,5.67,Fiberglass,API 5L X52,300,17.4,15.91,8.0,141.09,24,Critical,0.9367299887367345,1784,5571,3,Immediate Repair
500,12.23,Fiberglass,API 5L X52,2500,69.3,17.33,8.69,71.05,1,Critical,0.13752094414599325,1918,8631,7,Monitor
150,7.41,Fiberglass,ASTM A106 Grade B,2500,-8.2,18.23,2.15,29.01,16,Moderate,0.3410663510502585,1454,11172,9,Monitor
1000,25.42,PVC,ASTM A106 Grade B,150,39.1,6.15,6.63,26.08,12,Critical,0.11347352124058907,1749,14312,5,Monitor
200,10.46,Stainless Steel,API 5L X65,150,-7.0,19.9,8.3,79.35,10,Critical,0.9246936182785628,1483,12177,6,Immediate Repair
600,16.19,Carbon Steel,ASTM A333 Grade 6,600,12.1,15.73,8.8,54.35,25,Critical,0.877339353380981,1647,13433,2,Immediate Repair
100,5.39,HDPE,ASTM A333 Grade 6,900,44.7,7.35,0.21,3.9,8,Normal,0.2579416277151556,1474,8897,3,Monitor
1200,34.55,Stainless Steel,API 5L X65,600,105.6,8.83,3.41,9.87,2,Moderate,0.659984046034179,537,17287,3,Schedule Inspection
400,12.07,PVC,API 5L X65,300,78.0,9.28,9.52,78.87,2,Critical,0.8172222002012158,827,13123,9,Immediate Repair
600,13.15,PVC,API 5L X42,900,8.1,0.88,4.64,35.29,16,Moderate,0.5552008115994623,1774,7279,7,Schedule Inspection
300,10.17,Stainless Steel,API 5L X42,300,85.2,7.37,0.9,8.85,23,Normal,0.5296505783560065,1699,13980,8,Schedule Inspection
600,14.68,HDPE,API 5L X65,300,65.1,16.73,0.85,5.79,25,Normal,0.24185229090045168,1413,12451,9,Monitor
250,9.4,Fiberglass,ASTM A106 Grade B,2500,49.4,7.59,7.76,82.55,14,Critical,0.09310276780589921,953,13906,6,Monitor
300,9.45,HDPE,API 5L X42,2500,35.6,12.61,5.43,57.46,3,Critical,0.8972157579533268,536,18046,4,Immediate Repair
50,5.22,PVC,ASTM A106 Grade B,900,110.5,18.51,7.59,145.4,10,Critical,0.9004180571633305,1839,16041,1,Immediate Repair
300,10.52,Fiberglass,ASTM A106 Grade B,1500,99.2,19.04,3.39,32.22,19,Moderate,0.6331014572732679,1472,5775,8,Schedule Inspection
